shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
P-3pAx0Y,51.5308,-0.07716,120
P-3pAx0Y,51.53104,-0.07711,121
P-3pAx0Y,51.53114,-0.07709,122
P-3pAx0Y,51.53139,-0.07705,123
P-3pAx0Y,51.53178,-0.07702,124
P-3pAx0Y,51.53204,-0.07703,125
P-3pAx0Y,51.53213,-0.07704,126
P-3pAx0Y,51.53232,-0.07707,127
P-3pAx0Y,51.53232,-0.07707,128
P-3pAx0Y,51.53245,-0.07709,129
P-3pAx0Y,51.53265,-0.07712,130
P-3pAx0Y,51.53293,-0.07714,131
P-3pAx0Y,51.53311,-0.07714,132
P-3pAx0Y,51.53327,-0.07712,133
P-3pAx0Y,51.53331,-0.07712,134
P-3pAx0Y,51.53403,-0.07704,135
P-3pAx0Y,51.53403,-0.07704,136
P-3pAx0Y,51.53415,-0.07702,137
P-3pAx0Y,51.5344,-0.077,138
P-3pAx0Y,51.53452,-0.07698,139
P-3pAx0Y,51.53462,-0.07697,140
P-3pAx0Y,51.5351,-0.07693,141
P-3pAx0Y,51.53533,-0.07692,142
P-3pAx0Y,51.53562,-0.07691,143
P-3pAx0Y,51.53562,-0.07691,144
P-3pAx0Y,51.53573,-0.07691,145
P-3pAx0Y,51.53605,-0.0769,146
P-3pAx0Y,51.53626,-0.07688,147
P-3pAx0Y,51.53641,-0.07687,148
P-3pAx0Y,51.53649,-0.07687,149
P-3pAx0Y,51.53658,-0.07687,150
P-3pAx0Y,51.53666,-0.07686,151
P-3pAx0Y,51.53701,-0.07683,152
P-3pAx0Y,51.53721,-0.07681,153
P-3pAx0Y,51.53818,-0.07674,154
P-3pAx0Y,51.53822,-0.07674,155
P-3pAx0Y,51.53822,-0.07674,156
P-3pAx0Y,51.53824,-0.07674,157
P-3pAx0Y,51.53842,-0.07672,158
P-3pAx0Y,51.53844,-0.07672,159
P-3pAx0Y,51.53852,-0.07672,160
P-3pAx0Y,51.53868,-0.07671,161
P-3pAx0Y,51.53881,-0.07671,162
P-3pAx0Y,51.53899,-0.0767,163
P-3pAx0Y,51.53947,-0.0767,164
P-3pAx0Y,51.54055,-0.07655,165
P-3pAx0Y,51.54069,-0.07653,166
P-3pAx0Y,51.54072,-0.07653,167
P-3pAx0Y,51.54083,-0.07651,168
P-3pAx0Y,51.54096,-0.07648,169
P-3pAx0Y,51.541,-0.07647,170
P-3pAx0Y,51.54107,-0.07646,171
P-3pAx0Y,51.54124,-0.07644,172
P-3pAx0Y,51.54132,-0.07642,173
P-3pAx0Y,51.54144,-0.07641,174
P-3pAx0Y,51.54144,-0.07641,175
P-3pAx0Y,51.54217,-0.07631,176
P-3pAx0Y,51.54236,-0.07628,177
P-3pAx0Y,51.5425,-0.07626,178
P-3pAx0Y,51.54326,-0.07617,179
P-3pAx0Y,51.54414,-0.07605,180
P-3pAx0Y,51.54425,-0.07604,181
P-3pAx0Y,51.54435,-0.07603,182
P-3pAx0Y,51.54453,-0.07601,183
P-3pAx0Y,51.54453,-0.07601,184
P-3pAx0Y,51.54461,-0.076,185
P-3pAx0Y,51.54478,-0.07602,186
P-3pAx0Y,51.54489,-0.076,187
P-3pAx0Y,51.54504,-0.07597,188
P-3pAx0Y,51.54526,-0.07592,189
P-3pAx0Y,51.5453,-0.07591,190
P-3pAx0Y,51.54537,-0.07589,191
P-3pAx0Y,51.5456,-0.07582,192
P-3pAx0Y,51.54567,-0.0758,193
P-3pAx0Y,51.54582,-0.07572,194
P-3pAx0Y,51.54599,-0.07568,195
P-3pAx0Y,51.54617,-0.07565,196
P-3pAx0Y,51.54613,-0.07581,197
P-3pAx0Y,51.54611,-0.07594,198
P-3pAx0Y,51.54609,-0.07612,199
P-3pAx0Y,51.54608,-0.07631,200
P-3pAx0Y,51.54607,-0.07652,201
P-3pAx0Y,51.54606,-0.07674,202
P-3pAx0Y,51.54607,-0.07688,203
P-3pAx0Y,51.54609,-0.07709,204
P-3pAx0Y,51.54611,-0.07725,205
P-3pAx0Y,51.54614,-0.07765,206
P-3pAx0Y,51.54615,-0.07769,207
P-3pAx0Y,51.54616,-0.07783,208
P-3pAx0Y,51.54616,-0.07784,209
P-3pAx0Y,51.5462,-0.07816,210
P-3pAx0Y,51.54622,-0.07838,211
P-3pAx0Y,51.54624,-0.07857,212
P-3pAx0Y,51.5463,-0.07923,213
P-3pAx0Y,51.54633,-0.07959,214
P-3pAx0Y,51.54635,-0.07989,215
P-3pAx0Y,51.54637,-0.08037,216
P-3pAx0Y,51.54638,-0.08047,217
P-3pAx0Y,51.5464,-0.08071,218
P-3pAx0Y,51.54643,-0.08104,219
P-3pAx0Y,51.54644,-0.08119,220
P-3pAx0Y,51.54647,-0.0815,221
P-3pAx0Y,51.54649,-0.0818,222
P-3pAx0Y,51.54654,-0.08263,223
P-3pAx0Y,51.54654,-0.08267,224
P-3pAx0Y,51.54655,-0.08283,225
P-3pAx0Y,51.54656,-0.08303,226
P-3pAx0Y,51.54656,-0.08303,227
P-3pAx0Y,51.54657,-0.08311,228
P-3pAx0Y,51.54659,-0.08353,229
P-3pAx0Y,51.54659,-0.08358,230
P-3pAx0Y,51.54659,-0.08364,231
P-3pAx0Y,51.54658,-0.08378,232
P-3pAx0Y,51.54658,-0.08393,233
P-3pAx0Y,51.54658,-0.08399,234
P-3pAx0Y,51.54656,-0.08438,235
P-3pAx0Y,51.54654,-0.08488,236
P-3pAx0Y,51.54653,-0.08528,237
P-3pAx0Y,51.54653,-0.08557,238
P-3pAx0Y,51.54653,-0.08569,239
P-3pAx0Y,51.54653,-0.0858,240
P-3pAx0Y,51.54653,-0.08594,241
P-3pAx0Y,51.54655,-0.0862,242
P-3pAx0Y,51.54655,-0.0862,243
P-3pAx0Y,51.54656,-0.08623,244
P-3pAx0Y,51.54657,-0.08642,245
P-3pAx0Y,51.54659,-0.08661,246
P-3pAx0Y,51.54662,-0.08683,247
P-3pAx0Y,51.54662,-0.08689,248
P-3pAx0Y,51.54663,-0.08708,249
P-3pAx0Y,51.54664,-0.0872,250
P-3pAx0Y,51.54665,-0.08726,251
P-3pAx0Y,51.54668,-0.08743,252
P-3pAx0Y,51.54669,-0.08749,253
P-3pAx0Y,51.54669,-0.08749,254
P-3pAx0Y,51.54672,-0.08768,255
P-3pAx0Y,51.54674,-0.08777,256
P-3pAx0Y,51.54677,-0.08795,257
P-3pAx0Y,51.5468,-0.08813,258
P-3pAx0Y,51.5468,-0.08819,259
P-3pAx0Y,51.54684,-0.08858,260
P-3pAx0Y,51.54687,-0.08896,261
P-3pAx0Y,51.54689,-0.08926,262
P-3pAx0Y,51.54694,-0.08991,263
P-3pAx0Y,51.54696,-0.09015,264
P-3pAx0Y,51.54697,-0.09022,265
P-3pAx0Y,51.54699,-0.09046,266
P-3pAx0Y,51.547,-0.09053,267
P-3pAx0Y,51.547,-0.09053,268
P-3pAx0Y,51.54704,-0.09108,269
P-3pAx0Y,51.54704,-0.09134,270
P-3pAx0Y,51.54709,-0.09198,271
P-3pAx0Y,51.54711,-0.09216,272
P-3pAx0Y,51.54715,-0.09239,273
P-3pAx0Y,51.54719,-0.09273,274
P-3pAx0Y,51.5472,-0.09287,275
P-3pAx0Y,51.54721,-0.09303,276
P-3pAx0Y,51.54721,-0.09347,277
P-3pAx0Y,51.5472,-0.09368,278
P-3pAx0Y,51.54719,-0.09409,279
P-3pAx0Y,51.54718,-0.0943,280
P-3pAx0Y,51.5472,-0.09495,281
P-3pAx0Y,51.5472,-0.09516,282
P-3pAx0Y,51.54722,-0.09536,283
P-3pAx0Y,51.54726,-0.09581,284
P-3pAx0Y,51.54729,-0.09635,285
P-3pAx0Y,51.54729,-0.09652,286
P-3pAx0Y,51.54728,-0.09669,287
P-3pAx0Y,51.54724,-0.09687,288
P-3pAx0Y,51.54716,-0.09716,289
P-3pAx0Y,51.54695,-0.09784,290
P-3pAx0Y,51.54689,-0.09805,291
P-3pAx0Y,51.54682,-0.09833,292
P-3pAx0Y,51.5468,-0.0984,293
P-3pAx0Y,51.54676,-0.09855,294
P-3pAx0Y,51.54675,-0.09859,295
P-3pAx0Y,51.54668,-0.09885,296
P-3pAx0Y,51.54667,-0.09891,297
P-3pAx0Y,51.54657,-0.0993,298
P-3pAx0Y,51.54656,-0.09936,299
P-3pAx0Y,51.54656,-0.09936,300
P-3pAx0Y,51.54631,-0.10041,301
P-3pAx0Y,51.5463,-0.10048,302
P-3pAx0Y,51.54625,-0.10073,303
P-3pAx0Y,51.54622,-0.10088,304
P-3pAx0Y,51.54621,-0.10096,305
P-3pAx0Y,51.54619,-0.10109,306
P-3pAx0Y,51.54617,-0.1013,307
P-3pAx0Y,51.54616,-0.10149,308
P-3pAx0Y,51.54616,-0.10151,309
P-3pAx0Y,51.54616,-0.10151,310
P-3pAx0Y,51.54616,-0.1016,311
P-3pAx0Y,51.54614,-0.10181,312
P-3pAx0Y,51.54614,-0.10194,313
P-3pAx0Y,51.54612,-0.10205,314
P-3pAx0Y,51.54609,-0.10212,315
P-3pAx0Y,51.54605,-0.10217,316
P-3pAx0Y,51.54601,-0.10222,317
P-3pAx0Y,51.54597,-0.10219,318
P-3pAx0Y,51.54592,-0.10218,319
P-3pAx0Y,51.54587,-0.10219,320
P-3pAx0Y,51.54585,-0.10219,321
P-3pAx0Y,51.54579,-0.10219,322
P-3pAx0Y,51.54571,-0.10219,323
P-3pAx0Y,51.54565,-0.10221,324
P-3pAx0Y,51.5456,-0.10223,325
P-3pAx0Y,51.54556,-0.10228,326
P-3pAx0Y,51.54553,-0.10234,327
P-3pAx0Y,51.54551,-0.10241,328
P-3pAx0Y,51.5455,-0.10249,329
P-3pAx0Y,51.54553,-0.10279,330
P-3pAx0Y,51.54555,-0.10289,331
P-3pAx0Y,51.54557,-0.10295,332
P-3pAx0Y,51.54559,-0.10301,333
P-3pAx0Y,51.54562,-0.10306,334
P-3pAx0Y,51.54565,-0.1031,335
P-3pAx0Y,51.54568,-0.10313,336
P-3pAx0Y,51.54571,-0.10314,337
P-3pAx0Y,51.54578,-0.10315,338
P-3pAx0Y,51.54584,-0.10316,339
P-3pAx0Y,51.5459,-0.10316,340
P-3pAx0Y,51.546,-0.10315,341
P-3pAx0Y,51.54604,-0.10316,342
P-3pAx0Y,51.54609,-0.10316,343
P-3pAx0Y,51.54613,-0.10318,344
P-3pAx0Y,51.54617,-0.1032,345
P-3pAx0Y,51.54621,-0.10322,346
P-3pAx0Y,51.54625,-0.10325,347
P-3pAx0Y,51.54629,-0.10329,348
P-3pAx0Y,51.54633,-0.10335,349
P-3pAx0Y,51.54647,-0.10363,350
P-3pAx0Y,51.54658,-0.10389,351
P-3pAx0Y,51.54661,-0.10395,352
P-3pAx0Y,51.54669,-0.10413,353
P-3pAx0Y,51.54675,-0.10426,354
P-3pAx0Y,51.54688,-0.10451,355
P-3pAx0Y,51.5469,-0.10455,356
P-3pAx0Y,51.54691,-0.10457,357
P-vwYJ3y,51.54675,-0.10426,0
P-vwYJ3y,51.54669,-0.10413,1
P-vwYJ3y,51.54661,-0.10395,2
P-vwYJ3y,51.54658,-0.10389,3
P-vwYJ3y,51.54647,-0.10363,4
P-vwYJ3y,51.54633,-0.10335,5
P-vwYJ3y,51.54631,-0.10329,6
P-vwYJ3y,51.54629,-0.10324,7
P-vwYJ3y,51.54624,-0.10312,8
P-vwYJ3y,51.5462,-0.10299,9
P-vwYJ3y,51.54618,-0.10293,10
P-vwYJ3y,51.54617,-0.10286,11
P-vwYJ3y,51.54612,-0.10244,12
P-vwYJ3y,51.54611,-0.1023,13
P-vwYJ3y,51.54613,-0.10211,14
P-vwYJ3y,51.54614,-0.10194,15
P-vwYJ3y,51.54614,-0.10181,16
P-vwYJ3y,51.54616,-0.1016,17
P-vwYJ3y,51.54616,-0.10149,18
P-vwYJ3y,51.54617,-0.1013,19
P-vwYJ3y,51.54619,-0.10109,20
P-vwYJ3y,51.54621,-0.10096,21
P-vwYJ3y,51.54622,-0.10088,22
P-vwYJ3y,51.54623,-0.10083,23
P-vwYJ3y,51.54623,-0.10083,24
P-vwYJ3y,51.54625,-0.10073,25
P-vwYJ3y,51.5463,-0.10048,26
P-vwYJ3y,51.54631,-0.10041,27
P-vwYJ3y,51.54657,-0.0993,28
P-vwYJ3y,51.54667,-0.09891,29
P-vwYJ3y,51.54668,-0.09885,30
P-vwYJ3y,51.54675,-0.09859,31
P-vwYJ3y,51.54676,-0.09855,32
P-vwYJ3y,51.5468,-0.0984,33
P-vwYJ3y,51.54682,-0.09833,34
P-vwYJ3y,51.54689,-0.09805,35
P-vwYJ3y,51.54695,-0.09784,36
P-vwYJ3y,51.54696,-0.0978,37
P-vwYJ3y,51.54696,-0.0978,38
P-vwYJ3y,51.54716,-0.09716,39
P-vwYJ3y,51.54724,-0.09687,40
P-vwYJ3y,51.54728,-0.09669,41
P-vwYJ3y,51.54729,-0.09652,42
P-vwYJ3y,51.54729,-0.09635,43
